name,gender,language,frequency
Penelope,f,en,7
Kris,f,en,7
Marian,f,en,7
Margie,f,en,7
Sasha,f,en,7
Gabrielle,f,en,7
Rosalie,f,en,7
Mattie,f,en,7
Amber,f,en,7
Sophie,f,en,7
Sydney,f,en,7
Celeste,f,en,7
April,f,en,7
Jody,f,en,7
Haley,f,en,7
Mara,f,en,7
Rhoda,f,en,7
Janelle,f,en,7
Tricia,f,en,6
Mae,f,en,6
Michaela,f,en,6
Sonia,f,en,6
Inez,f,en,6
Kaitlyn,f,en,6
Summer,f,en,6
Rhonda,f,en,6
Alexis,f,en,6
Dora,f,en,6
John,m,en,2597
William,m,en,1634
James,m,en,1330
Robert,m,en,1307
David,m,en,1144
Charles,m,en,998
George,m,en,976
Michael,m,en,804
Richard,m,en,730
Thomas,m,en,677
Paul,m,en,612
Joseph,m,en,578
Henry,m,en,521
Mike,m,en,494
Mark,m,en,493
Frank,m,en,485
Edward,m,en,464
Jim,m,en,464
Bill,m,en,452
Bob,m,en,405
Tom,m,en,401
Steve,m,en,386
Peter,m,en,368
Joe,m,en,366
Jack,m,en,355
Chris,m,en,348
Scott,m,en,329
Samuel,m,en,325
Daniel,m,en,315
Brian,m,en,294
Stephen,m,en,291
Andrew,m,en,280
Harry,m,en,278
Jeff,m,en,274
Kevin,m,en,266
Walter,m,en,262
Eric,m,en,261
Arthur,m,en,259
Dave,m,en,253
Matt,m,en,240
Don,m,en,238
Larry,m,en,237
Dan,m,en,235
Fred,m,en,232
Donald,m,en,215
Tim,m,en,211
